date revenue price type distance size_length size_width size_height
2024-12-05 17628.06 430.92 drywall 148.88 27.09 57.74 9.00
2024-08-13 64588.32 3496.63 drywall 167.66 17.32 60.86 6.11
2023-08-11 54531.70 1732.38 door 149.39 29.36 45.52 8.13
2023-03-13 1184074.44 3637.60 lumber 32.86 38.76 63.46 43.98
2024-05-14 26680.46 373.51 lumber 151.92 69.03 12.75 26.88
2023-11-18 15706.41 1610.69 roofing 154.94 10.94 13.34 23.90
2023-03-31 25394.01 2720.48 siding 133.42 25.00 21.32 6.23
2023-12-28 1734439.41 3964.08 lumber 154.39 81.86 54.22 32.83
2023-01-26 100387.53 1627.82 drywall 169.95 18.96 25.33 43.53
2024-10-25 470302.82 3148.16 lumber 124.65 37.55 31.91 41.58
2023-07-08 1584639.14 4435.59 drywall 22.28 87.14 43.03 31.68
2024-04-28 69209.77 3098.52 insulation 100.09 19.72 82.13 4.69
2023-08-16 2084.12 1203.15 door 20.14 12.86 6.32 6.51
2024-01-15 4603.67 170.78 door 84.47 51.03 66.69 3.42
2024-02-04 412164.69 4356.99 siding 84.39 33.73 68.54 13.62
2023-05-15 20769.00 155.28 lumber 17.87 58.52 80.87 7.65
2024-12-08 1376943.12 4379.77 lumber 73.02 81.36 93.61 13.74
2024-07-19 19556.04 2668.24 flooring 26.64 18.03 6.91 19.87
2024-11-16 783495.19 4698.39 window 162.61 60.17 19.61 47.21
2024-10-15 1756357.88 4003.98 insulation 189.80 53.02 89.19 30.91
2024-03-12 570806.07 4989.77 door 19.10 18.69 48.56 41.91
2024-11-03 723151.79 1786.02 insulation 191.25 64.28 58.64 35.81
2023-03-06 157292.32 3847.58 door 106.90 31.00 67.99 6.51
2023-05-24 812474.50 2039.56 insulation 63.42 51.34 69.51 37.06
2023-02-03 128148.65 2425.38 roofing 19.99 12.82 93.52 14.48
2023-08-26 1486043.87 3156.15 drywall 102.62 48.66 99.71 32.32
2023-10-11 580310.12 4374.70 door 159.93 34.11 73.41 17.71
2023-07-18 1978115.03 4921.21 insulation 142.88 83.13 32.29 49.89
2024-08-27 149667.38 3852.95 lumber 14.79 10.41 88.58 13.91
2023-09-18 42224.39 2117.95 window 19.22 44.77 9.68 14.68
2023-07-25 390871.56 2135.72 roofing 83.56 48.55 26.95 46.60
2024-02-01 163533.69 3701.03 roofing 62.58 73.88 90.25 2.21
2023-04-13 228277.59 1231.95 window 50.31 59.56 29.34 35.14
2024-08-08 117290.03 596.85 insulation 59.80 68.39 25.96 36.54
2023-02-24 323374.33 1805.38 lumber 161.68 78.82 18.12 41.98
2024-12-21 1624869.65 1471.83 siding 186.20 86.91 86.62 48.75
2024-07-17 407602.84 1516.73 window 84.00 34.82 52.51 48.80
2023-05-26 56850.95 1206.36 insulation 181.69 56.11 69.11 4.20
2023-01-05 75786.74 258.36 window 67.69 84.81 27.71 41.27
2024-08-18 107937.33 138.48 window 97.91 99.00 77.01 32.67
2024-05-31 3354251.44 4939.23 door 49.08 89.50 77.20 32.72
2024-06-16 64954.95 2167.48 insulation 129.89 40.29 34.70 7.29
2024-07-17 197603.63 1952.42 siding 195.90 23.54 44.01 32.86
2023-02-24 647226.85 3414.25 drywall 122.68 51.49 24.92 49.14
2023-09-19 1150844.31 1130.36 door 74.77 75.46 97.77 45.68
2023-03-26 1103214.62 4752.31 window 131.32 51.79 66.33 22.52
2024-09-22 169507.08 3942.41 drywall 28.97 50.90 93.78 2.96
2024-03-31 78123.76 492.58 flooring 178.29 84.63 33.82 18.75
2023-08-30 823367.05 2117.02 drywall 103.10 39.33 79.28 41.49
2023-02-16 3151930.97 4401.64 window 92.62 86.68 77.76 35.37
2023-08-16 1028530.55 4726.42 window 119.24 43.65 70.71 23.51
2023-08-26 90789.00 2363.64 lumber 126.83 36.18 96.74 3.70
2024-06-16 415889.99 3086.39 insulation 19.00 48.13 42.39 21.92
2024-04-10 84787.62 876.82 insulation 138.11 77.43 17.42 23.98
2024-10-09 808607.62 4956.28 door 52.18 16.97 68.81 46.50
2023-12-11 204492.25 1196.77 siding 144.22 23.66 74.28 32.41
2023-03-29 1309213.18 4716.52 door 165.39 95.39 59.63 16.27
2024-06-04 137685.59 3265.75 roofing 161.77 21.67 24.65 26.74
2024-07-09 119537.69 3058.30 window 112.74 58.93 52.92 4.24
2024-02-14 786788.44 2587.81 drywall 106.43 60.03 34.66 48.66
2024-07-16 159959.07 1191.82 flooring 32.86 51.51 45.61 18.64
2023-12-27 296931.23 923.81 window 156.19 66.25 66.30 24.42
2024-01-17 128317.13 1141.41 window 57.92 26.83 75.80 18.41
2023-11-09 155620.69 972.87 door 101.86 57.50 27.06 34.44
2023-01-19 692714.19 3908.94 flooring 60.43 40.36 43.51 33.45
2023-03-20 401770.96 1783.12 flooring 31.10 67.86 30.57 36.05
2023-01-23 5197.12 336.32 flooring 127.76 18.42 23.87 14.14
2024-04-09 1128992.68 4847.06 door 15.59 59.23 79.42 16.47
2023-08-18 194119.57 4424.74 window 150.99 22.60 91.38 7.14
2024-01-07 584324.78 4642.37 door 66.93 31.47 40.17 33.12
2024-10-24 89637.55 4974.79 insulation 5.03 25.78 76.37 2.95
2023-07-01 168034.59 910.78 insulation 104.67 22.37 90.21 30.29
2023-10-27 1881020.28 2011.40 door 14.14 83.44 85.38 43.62
2024-07-05 367226.14 3803.28 flooring 58.85 32.14 22.37 44.65
2023-06-17 2155436.90 3495.30 lumber 142.86 93.08 95.85 23.00
2023-02-26 230672.56 811.78 window 17.22 97.14 40.78 23.51
2023-07-31 125748.87 4088.37 door 168.67 59.27 37.23 4.77
2023-04-28 25848.44 1160.98 door 5.74 18.59 10.93 33.87
2024-11-09 299284.26 1157.90 door 53.13 40.58 51.19 41.24
2024-08-12 131001.29 2708.02 lumber 149.48 80.78 15.36 12.99
2024-04-07 222457.49 2985.05 lumber 66.67 39.90 28.61 21.64
2024-09-28 172197.46 2921.43 roofing 24.87 13.27 35.11 42.10
2024-08-09 319109.33 502.86 insulation 75.25 57.89 81.84 43.98
2023-05-17 1283344.47 4393.43 drywall 57.73 85.29 88.17 12.92
2024-10-13 312112.54 1364.72 flooring 169.33 80.61 33.73 27.98
2024-01-29 40874.08 691.10 siding 66.10 21.64 86.58 10.43
2024-08-12 475574.54 4449.30 lumber 158.84 68.91 86.44 5.99
2024-10-16 1317725.32 4780.47 drywall 178.92 25.95 77.64 45.64
2023-08-21 261398.67 4317.53 lumber 89.59 25.73 18.94 41.20
2023-03-22 2895319.87 4057.10 flooring 182.44 88.04 70.58 38.24
2023-06-16 90295.42 3293.45 siding 78.58 28.72 94.78 3.39
2023-11-08 737836.27 2776.74 roofing 193.00 30.01 69.84 42.34
2024-08-20 6146.12 480.58 door 22.41 5.06 36.50 22.46
2024-09-20 508135.23 2071.84 roofing 138.97 87.71 52.56 17.78
2023-01-06 843531.90 1894.81 lumber 101.29 80.30 66.34 27.78
2024-01-08 74806.86 1335.78 roofing 80.59 64.60 53.50 5.48
2023-11-01 518630.38 3630.93 drywall 128.38 76.28 16.40 38.08
2023-06-12 147186.02 2504.58 window 142.25 19.44 34.65 29.54
2023-03-29 55611.82 451.18 lumber 5.85 48.54 81.23 10.14
2023-09-04 120120.57 1139.91 lumber 37.56 38.37 86.83 10.22
2024-11-19 25984.44 3432.13 drywall 144.04 13.91 18.04 10.03
2023-08-24 22284.66 426.85 insulation 134.95 51.18 95.48 3.79
2024-01-14 1276969.18 4263.47 siding 193.38 92.47 36.24 29.80
2024-05-28 187932.31 2500.98 door 153.40 8.81 67.92 42.18
2023-09-23 32949.20 2428.90 drywall 190.40 32.69 76.42 1.86
2024-12-10 59721.93 2982.42 siding 142.00 24.72 82.13 3.40
2024-12-03 946865.85 4132.17 flooring 63.12 27.62 94.85 29.07
2023-07-03 696505.80 1771.66 siding 25.55 91.30 34.73 41.16
2023-12-29 743187.24 3406.18 flooring 157.46 49.47 86.56 17.01
2023-08-08 134016.16 2850.37 drywall 130.61 49.30 17.51 18.13
2023-07-27 697793.51 1371.79 lumber 14.40 77.25 71.98 30.22
2023-01-27 286095.67 4399.22 lumber 75.21 19.68 75.49 14.44
2024-03-20 95188.21 3997.26 insulation 191.58 51.29 69.38 2.30
2024-01-02 489643.50 3309.34 drywall 102.58 45.85 28.97 37.03
2023-02-07 2198605.01 4260.38 flooring 89.38 61.71 87.94 31.66
2023-07-23 808527.27 4343.11 siding 94.25 99.96 21.04 29.46
2024-10-25 313915.56 3556.40 siding 45.73 78.10 10.10 37.34
2023-06-24 1343844.34 4193.22 flooring 76.90 42.80 73.16 34.09
2023-04-16 488634.80 3502.48 roofing 77.11 83.62 50.17 11.09
2023-12-24 342326.30 3416.70 insulation 15.21 21.22 85.66 18.27
2024-12-20 19058.78 3112.13 window 154.68 7.89 41.42 7.18
2023-06-26 43728.02 3775.95 lumber 86.22 24.42 20.99 7.36
2024-05-05 270257.76 835.10 door 165.33 37.34 84.46 34.13
2024-07-09 1743462.75 4410.31 siding 170.82 53.51 57.15 43.07
2023-06-23 922175.17 4365.63 door 46.34 63.44 22.97 48.17
2024-06-15 127465.42 194.77 window 133.18 91.51 73.44 31.79
2023-09-26 355550.79 4137.79 drywall 97.09 53.44 53.56 10.02
2024-04-06 40726.90 687.91 door 176.63 52.62 62.41 6.18
2024-04-07 99461.28 1708.84 window 47.07 9.77 48.79 40.83
2024-01-27 229278.96 3730.37 lumber 137.17 8.32 83.73 29.36
2023-03-07 385227.46 845.76 flooring 123.51 57.36 83.81 31.30
2024-09-01 1633738.79 4098.94 roofing 62.58 46.63 72.39 39.29
2023-08-23 565295.52 4169.06 lumber 31.64 84.72 15.01 35.46
2023-05-17 551902.04 2561.97 siding 132.07 20.26 84.69 41.89
2023-01-30 -718.40 81.61 window 149.03 7.37 68.75 3.75
2024-03-07 565536.02 1470.84 door 66.55 47.66 71.22 37.63
2024-05-09 432249.91 3103.79 siding 130.74 27.56 39.48 42.69
2023-01-13 190467.92 4906.87 roofing 82.05 9.71 88.53 15.02
2024-01-09 1687461.34 3177.48 flooring 144.08 73.84 73.91 32.38
2023-06-15 17417.04 1336.03 drywall 43.85 15.60 15.70 16.39
2024-04-15 1259550.42 3188.33 siding 178.59 62.79 43.74 47.94
2023-05-08 61509.67 2722.93 drywall 61.04 31.70 89.21 2.64
2024-05-19 70258.19 3910.23 window 76.72 21.48 9.48 29.41
2023-10-10 64953.00 579.55 roofing 16.33 41.08 96.33 9.16
2024-11-14 2323026.82 3817.09 door 26.74 81.14 69.52 35.90
2023-04-11 216594.28 2729.27 roofing 105.59 42.25 64.98 9.62
2023-09-06 424866.22 4816.81 roofing 57.18 76.32 30.70 12.53
2023-03-24 61587.63 1742.27 insulation 167.92 16.92 28.64 25.22
2024-11-06 3248072.43 3181.48 roofing 7.87 78.41 94.50 45.83
2024-10-02 144872.84 4663.54 roofing 78.92 27.51 33.34 11.37
2023-07-08 74958.39 557.42 lumber 70.78 69.35 78.67 8.07
2024-04-26 1340595.59 4689.28 siding 8.77 58.75 42.35 38.19
2024-08-19 450456.40 3455.03 door 29.25 93.27 18.23 25.53
2024-02-10 14064.48 385.79 lumber 85.66 41.80 6.02 45.68
2024-01-22 23850.46 1539.77 lumber 101.11 11.29 56.70 8.18
2023-06-26 231891.43 3555.45 siding 83.84 6.82 97.70 32.65
2023-03-09 46540.20 383.39 siding 108.53 83.55 40.07 12.41
2024-10-16 161525.55 2931.74 window 121.05 54.85 38.93 8.68
2024-10-19 543463.46 1762.12 siding 6.94 78.65 37.69 34.49
2024-04-07 419613.47 3123.53 insulation 95.50 27.27 54.45 30.09
2023-09-05 54942.89 276.42 insulation 192.88 37.78 46.86 37.99
2023-09-12 146597.46 4364.11 lumber 106.21 7.86 88.59 16.16
2024-06-13 1714850.98 4868.77 drywall 137.12 96.34 53.02 22.95
2024-10-16 1106560.08 4845.95 window 65.81 68.45 53.24 20.87
2024-10-09 944318.66 3760.78 drywall 155.93 93.65 18.15 49.22
2024-07-23 94496.99 693.93 drywall 155.72 30.22 98.36 15.32
2024-04-13 319754.95 3803.40 lumber 106.65 63.09 28.75 15.45
2023-03-03 6141.57 171.71 flooring 195.32 69.46 11.97 18.37
2023-04-28 36064.28 159.51 lumber 29.48 35.17 68.00 28.67
2024-10-17 349602.08 1651.87 door 8.30 85.57 61.56 13.36
2024-03-18 1434520.75 2468.78 door 155.18 94.98 44.44 45.85
2023-01-07 651734.12 3863.52 siding 162.40 89.06 45.11 14.02
2023-03-16 2773245.48 3432.31 siding 28.44 75.21 79.58 44.89
2024-04-29 32020.72 2257.22 flooring 56.79 31.36 23.59 6.07
2023-01-04 370277.08 1404.45 siding 8.42 31.75 82.92 33.17
2023-04-28 4376330.14 4985.77 door 62.20 96.52 66.63 45.44
2024-02-05 14504.80 2159.60 drywall 155.76 5.98 44.80 9.27
2024-05-20 1178991.55 2284.37 lumber 106.00 73.02 48.51 48.45
2024-04-20 127078.00 859.94 roofing 72.88 72.09 29.38 23.19
2023-06-13 2780568.75 3984.31 insulation 77.49 64.16 76.45 47.34
2024-06-03 1903979.09 3483.73 roofing 5.26 99.06 53.72 34.16
2023-06-23 67022.63 1142.81 roofing 63.46 34.63 35.48 15.78
2023-08-26 29669.20 457.79 door 131.06 37.30 61.62 10.23
2024-06-28 199918.32 3418.47 roofing 194.97 12.50 99.59 15.88
2024-04-19 118337.41 3289.83 lumber 170.18 47.07 46.35 5.56
2024-09-11 96622.81 1402.63 flooring 9.60 29.80 92.47 8.05
2024-04-25 121341.03 4756.77 window 180.22 37.62 37.78 6.13
2024-02-19 41452.68 797.74 siding 157.72 84.28 10.20 21.72
2023-03-10 599559.34 2190.06 window 157.17 93.87 24.40 39.98
2023-09-26 114045.62 4720.90 drywall 94.31 22.64 44.78 7.93
2023-07-13 50340.94 2127.65 lumber 82.61 40.39 25.87 7.39
2023-06-28 148088.74 3210.70 lumber 64.07 93.22 5.02 32.53
2024-12-11 66002.21 2018.09 insulation 17.81 10.87 91.93 10.66
2023-10-14 30818.49 1407.37 lumber 49.51 13.77 85.17 5.78
2024-10-13 209426.54 4920.69 siding 53.09 20.47 75.52 9.18
2024-04-05 373422.31 2076.20 lumber 99.40 61.55 20.94 46.26
2024-08-03 172686.20 4475.79 roofing 150.75 19.29 16.43 41.25
2024-01-02 71684.76 1188.28 insulation 97.39 96.97 11.42 18.35
2024-02-26 386264.64 1104.87 siding 16.28 47.44 73.78 33.14
2023-12-26 82459.87 204.11 flooring 191.77 52.64 93.24 27.33
2023-05-23 437137.48 3275.75 flooring 188.83 28.43 45.90 34.18
2024-06-11 156417.05 1874.21 flooring 158.11 49.74 16.32 34.45
2023-07-24 1505134.47 4328.57 flooring 198.31 67.88 53.68 31.81
2023-01-18 292402.26 2392.39 roofing 111.17 76.36 38.14 14.04
2024-04-16 129865.87 4842.56 lumber 192.74 76.62 40.61 2.91
2023-05-10 260743.19 968.35 window 19.74 59.90 64.03 23.32
2024-11-17 3889052.28 4349.68 siding 76.31 90.91 73.28 44.66
2024-11-27 433444.55 3894.15 roofing 48.95 82.65 15.51 28.91
2024-10-29 313425.97 3866.06 flooring 43.19 76.92 8.38 41.79
2023-09-28 647377.20 4231.68 drywall 32.46 10.28 99.46 49.59
2023-01-12 14431.64 3817.07 lumber 126.37 5.65 27.11 9.02
2024-11-08 80816.67 3149.79 window 157.36 25.18 10.11 34.90
2023-11-09 111725.61 699.66 drywall 117.77 68.03 23.04 34.04
2024-12-06 13044.87 211.00 insulation 33.66 44.06 8.70 49.02
2024-12-04 1244609.73 4608.20 drywall 163.17 43.23 42.22 49.29
2024-09-14 2336700.63 3102.42 insulation 129.01 89.04 81.23 34.65
2023-08-03 525148.57 3992.86 insulation 80.69 90.08 37.42 12.94
2023-10-09 1264057.94 2433.54 flooring 136.46 91.37 47.20 40.13
2024-09-13 29632.82 630.68 insulation 55.68 34.82 69.18 6.24
2023-08-20 299185.50 669.67 door 72.31 70.65 53.34 39.25
2023-05-04 1259731.19 3443.55 siding 183.91 30.81 86.84 45.60
2024-02-11 260974.46 2180.01 siding 61.65 23.11 87.27 19.76
2024-11-14 12488.25 1042.60 flooring 96.65 22.54 5.94 31.90
2024-05-23 486722.41 2483.39 door 178.58 37.50 78.91 22.08
2024-02-21 56110.09 367.83 drywall 143.01 45.85 48.77 22.45
2023-03-12 1186990.50 2930.76 roofing 17.13 83.94 98.94 16.21
2024-03-24 135541.04 1381.52 drywall 33.72 16.39 50.91 38.34
2024-12-23 4161432.96 3997.92 lumber 6.53 74.82 98.76 46.87
2023-04-13 955160.62 1586.29 roofing 128.03 55.49 76.68 47.10
2024-01-14 59281.80 2303.34 insulation 92.30 32.35 28.62 9.56
2024-10-02 43233.34 107.52 window 31.18 51.82 56.15 43.86
2024-06-24 151191.51 408.61 roofing 191.80 33.49 99.25 37.13
2024-05-23 426586.24 1992.84 window 108.28 61.63 86.47 13.39
2024-05-27 21025.36 2425.70 siding 52.17 46.22 14.25 4.30
2023-09-20 188295.35 3020.10 window 102.62 20.62 72.11 14.13
2023-08-03 124282.70 1493.73 siding 137.53 16.08 37.83 45.70
2024-08-13 109025.46 3490.16 door 19.87 56.94 5.66 32.03
2024-08-14 1848975.68 4307.61 door 58.57 90.73 43.33 36.33
2024-09-24 161328.29 3910.26 flooring 162.36 37.68 27.30 13.60
2024-10-28 169922.31 246.11 flooring 94.63 74.64 82.79 36.25
2024-01-09 41806.52 2428.51 insulation 111.58 67.57 37.05 2.38
2024-01-02 260978.74 569.40 roofing 89.40 93.50 83.61 19.39
2024-08-05 51754.18 1248.12 insulation 13.56 82.99 5.06 31.71
2024-04-19 244226.62 4933.98 siding 37.32 58.83 34.24 8.16
2024-05-27 176755.46 755.35 insulation 91.88 67.42 27.91 41.33
2024-08-03 232797.12 2519.50 window 45.79 90.35 27.19 12.52
2024-10-11 151717.94 3109.87 siding 14.75 42.95 11.48 32.96
2023-09-04 180747.50 3527.20 flooring 169.51 36.05 22.78 20.85
2023-10-02 86014.84 2820.26 door 196.33 6.03 57.78 30.21
2023-03-10 4789.81 98.37 flooring 159.66 83.52 32.68 6.27
2024-02-27 30477.10 1665.98 roofing 171.49 81.09 44.65 1.83
2023-01-27 217872.23 2612.67 siding 52.19 14.92 40.80 45.57
2023-12-06 107408.78 484.94 siding 192.32 59.80 88.21 14.21
2024-02-01 989065.29 1785.60 window 43.40 49.08 91.00 41.16
2023-07-29 24674.54 214.36 roofing 190.53 16.28 51.83 49.97
2024-03-07 51644.53 438.96 door 198.99 98.15 36.36 11.36
2023-01-23 31359.86 2014.77 drywall 143.79 25.40 15.15 13.99
2023-01-28 73798.10 706.94 siding 196.32 11.39 95.57 33.48
2024-08-23 272436.19 2859.33 siding 116.06 61.51 10.72 48.31
2023-09-20 1193403.77 3462.85 window 55.61 75.19 33.28 45.87
2023-04-03 82979.03 4012.90 insulation 90.21 8.08 33.32 25.64
2024-01-17 299440.91 1040.74 lumber 120.74 67.58 35.44 39.96
2024-07-16 24536.81 879.04 door 19.25 55.57 20.61 7.65
2023-06-07 98157.04 567.61 flooring 126.36 14.81 79.40 48.89
2024-03-30 162241.08 3200.33 roofing 196.33 21.39 16.64 48.25
2023-03-04 371409.77 3547.05 siding 42.07 58.96 65.32 9.02
2023-02-07 4446.78 206.35 siding 159.56 33.15 16.77 15.67
2024-01-23 89619.32 4684.25 flooring 182.04 94.14 11.70 5.91
2024-01-30 98494.53 307.26 door 189.02 82.78 91.40 14.31
2024-04-10 760513.85 2729.42 lumber 192.23 98.44 23.06 40.98
2024-06-14 513700.86 3559.85 insulation 106.68 29.67 83.02 19.54
2024-12-13 381894.06 4361.30 siding 195.58 97.12 56.74 5.33
2024-01-12 108223.81 3584.73 lumber 152.68 45.97 12.40 17.77
2023-08-24 2157884.76 4018.55 door 36.53 38.01 95.77 49.09
2024-08-03 46508.76 1730.28 flooring 98.00 9.78 28.46 31.85
2023-07-17 225080.23 4083.38 window 145.07 10.01 86.67 21.39
2023-11-17 18925.61 446.57 insulation 53.23 70.74 21.04 9.16
2023-02-27 2772295.68 4479.34 roofing 129.92 48.50 86.12 49.32
2023-01-19 55655.43 2760.58 siding 134.99 26.52 6.26 41.22
2024-12-03 618270.44 4095.62 door 36.73 63.33 53.62 14.79
2024-09-02 67115.84 2288.98 window 115.19 29.02 78.10 4.43
2024-05-23 203706.51 3235.71 roofing 155.47 59.88 93.81 3.77
2023-10-26 196153.12 2655.69 drywall 102.28 39.12 91.37 6.90
2023-05-07 2242249.56 3671.37 door 7.36 83.24 82.86 29.46
2023-04-25 478069.88 454.07 door 6.76 82.97 89.38 46.51
2023-07-02 31977.50 348.74 roofing 74.62 50.35 23.93 25.34
2024-02-05 195107.31 1273.16 window 185.61 38.33 32.00 42.30
2024-06-05 76585.90 839.75 drywall 49.59 39.44 32.45 22.85
2024-04-26 1559262.54 4365.33 lumber 128.70 81.54 40.82 35.72
2023-07-24 193527.24 1135.11 lumber 48.30 36.18 42.37 36.86
2024-11-28 196942.48 4880.53 flooring 67.73 24.86 56.73 9.52
2024-06-22 22857.22 1717.63 window 170.37 13.05 20.19 18.70
2024-02-09 322899.68 951.48 insulation 147.13 49.34 70.67 32.23
2024-03-22 56382.91 3959.01 siding 23.60 50.80 20.92 4.46
2023-11-03 545237.63 3310.60 roofing 88.60 84.89 34.48 18.72
2023-06-30 285545.07 2516.07 flooring 10.69 26.02 52.82 27.21
2023-09-17 1392671.76 2799.05 drywall 98.77 41.19 80.66 49.82
2024-07-07 1617897.51 3610.05 roofing 134.17 81.80 75.25 24.25
2023-01-11 805906.58 1180.85 roofing 28.11 83.24 66.33 40.99
2023-03-26 272184.21 4981.85 window 61.33 41.54 19.80 22.17
2023-02-03 1623102.61 4875.23 siding 82.58 48.62 56.97 40.02
2023-01-30 131771.86 3269.11 insulation 184.31 33.81 13.31 30.18
2024-09-16 531379.71 1037.74 lumber 198.68 93.59 40.85 44.44
2024-05-28 156457.00 3417.13 door 13.76 16.27 44.28 21.14
2023-12-13 27548.90 407.38 door 153.40 93.71 8.78 30.61
2023-03-13 42791.38 201.73 roofing 77.49 69.97 31.03 31.87
2023-12-25 456474.36 1325.53 lumber 81.53 55.50 95.79 21.45
2023-12-12 43270.11 2339.98 lumber 152.08 8.10 95.60 8.07
2023-05-07 138197.29 4347.95 siding 184.09 50.18 38.47 5.58
2023-11-13 6117.97 3649.49 drywall 190.43 43.74 9.09 1.82
2023-10-18 220155.86 3726.40 drywall 117.54 20.32 22.01 43.80
2024-03-25 233007.08 2156.19 flooring 74.64 67.36 42.26 12.59
2024-04-08 554695.81 1762.38 window 158.57 97.26 95.04 11.36
2023-02-03 226250.52 1886.64 siding 53.95 58.41 18.41 37.07
2023-10-01 1397742.50 4938.87 siding 114.99 72.90 77.53 16.68
2024-04-01 3992.46 248.54 window 74.92 11.50 15.32 25.80
2024-01-03 512399.91 4341.81 lumber 133.04 44.68 98.22 8.96
2024-09-17 279590.78 2914.44 drywall 51.88 16.05 41.25 48.03
2024-04-25 1420428.33 2221.15 drywall 42.36 63.22 78.65 42.73
2023-04-29 1674929.10 3640.03 lumber 184.06 94.16 37.55 43.33
2023-02-21 682114.44 2459.01 drywall 24.85 67.87 64.63 20.93
2024-04-13 143424.60 4373.45 roofing 103.66 12.30 23.24 38.36
2023-01-20 80027.84 4508.47 siding 48.07 38.69 18.87 8.05
2024-03-03 50029.23 2137.52 door 12.59 57.31 94.12 1.42
2024-11-17 32363.56 1420.30 window 12.02 43.30 92.18 1.98
2024-02-25 2007109.80 2982.13 drywall 39.17 84.20 89.31 29.74
2023-10-11 1695875.36 4566.20 flooring 174.02 82.39 64.42 23.31
2024-04-14 450287.83 1092.78 drywall 60.08 63.12 81.79 26.38
2023-12-01 3543.80 3133.68 drywall 190.34 40.48 11.56 1.37
2024-02-03 222063.61 3176.22 insulation 118.42 29.26 36.80 21.71
2024-11-18 208635.34 3678.91 roofing 90.14 15.06 34.80 36.19
2023-10-09 121152.57 701.26 window 118.12 38.72 65.39 22.69
2024-12-02 683209.97 3593.33 insulation 105.76 44.25 38.82 36.88
2024-10-22 224564.70 4549.71 insulation 152.96 69.20 19.11 12.42
2023-05-23 483551.86 939.43 flooring 60.09 67.53 61.66 40.84
2023-02-20 104744.61 1225.84 siding 73.84 11.66 82.37 29.83
2023-03-15 288549.30 4858.41 flooring 179.35 42.55 41.30 11.33
2023-01-14 11070.50 945.84 siding 189.56 22.27 17.57 12.60
2023-03-10 188493.31 4279.21 siding 179.05 19.90 23.69 31.77
2024-05-13 718336.20 2486.78 window 86.79 83.59 27.56 41.67
2023-02-21 24007.60 1273.79 drywall 157.17 8.98 33.49 21.37
2023-08-21 528964.77 4360.21 window 97.89 44.82 66.07 13.66
2024-09-08 383381.41 2254.26 roofing 102.02 20.98 62.09 43.48
2023-01-17 1662449.68 2598.35 siding 44.91 88.54 71.13 33.79
2024-08-17 287348.79 1828.21 insulation 120.27 57.92 39.44 22.96
2023-07-25 504059.38 2985.11 drywall 41.30 26.98 83.28 24.91
2023-03-28 35450.83 859.44 door 69.66 52.73 24.39 11.01
2024-05-23 695469.45 1985.85 roofing 171.73 74.49 49.56 31.71
2024-04-04 2106644.65 4848.59 window 45.38 96.02 81.09 18.58
2024-10-02 115556.59 1327.76 flooring 18.88 25.94 22.12 49.79
